SUBJECT,TEMPLATE_ID,ACCURACY,IMAGE_NUM
2 Chainz,21499,0.0,2
2 Chainz,21501,0.058823529411764705,17
2 Chainz,21500,0.06896551724137931,29
2 Chainz,21503,0.058823529411764705,17
2 Chainz,21502,0.07142857142857142,14
2 Chainz,21504,0.07142857142857142,14
2 Chainz,21505,0.06451612903225806,31
50 Cent,17624,1.0,10
50 Cent,17625,0.875,16
50 Cent,17627,0.7142857142857143,21
50 Cent,17623,0.45454545454545453,11
50 Cent,17626,0.9090909090909091,11
A. P. J. Abdul Kalam,20270,0.6304347826086957,46
A. P. J. Abdul Kalam,20264,0.6666666666666666,6
A. P. J. Abdul Kalam,20267,0.4,15
A. P. J. Abdul Kalam,20269,0.46153846153846156,13
A. P. J. Abdul Kalam,20268,0.7241379310344828,29
A. P. J. Abdul Kalam,20266,0.6774193548387096,31
A. P. J. Abdul Kalam,20265,0.625,40
A.K. Antony,13928,0.16666666666666666,30
A.K. Antony,13927,0.08333333333333333,12
A.K. Antony,13925,0.07692307692307693,13
A.K. Antony,13922,0.6666666666666666,3
A.K. Antony,13924,0.2222222222222222,18
A.K. Antony,13926,0.23529411764705882,17
A.K. Antony,13923,0.1111111111111111,27
AJ Lee,17629,0.0,9
AJ Lee,17628,0.25,4
AJ Lee,17630,0.1111111111111111,9
AJ Lee,17632,0.0,8
AJ Lee,17631,0.25,4
AJ Lee,17634,0.07692307692307693,13
AJ Lee,17633,0.0,3
Aaron Paul,14890,0.6206896551724138,58
Aaron Paul,14891,0.717391304347826,46
Aaron Paul,14892,0.35714285714285715,14
Aaron Paul,14893,0.6271186440677966,59
Aaron Paul,14889,1.0,1
Aaron Sorkin,11756,0.0,7
Aaron Sorkin,11754,0.0,7
Aaron Sorkin,11755,0.0,2
Aaron Sorkin,11757,0.0,8
Aaron Sorkin,11753,0.0,1
Abbas Kiarostami,179031,0.15384615384615385,13
Abbas Kiarostami,179027,0.5,4
Abbas Kiarostami,179029,0.18181818181818182,11
Abbas Kiarostami,179028,0.0,9
Abbas Kiarostami,179030,0.0,10
Abby Wambach,179038,0.7272727272727273,11
Abby Wambach,179032,0.6,5
Abby Wambach,179037,0.75,4
Abby Wambach,179033,0.8333333333333334,6
Abby Wambach,179034,0.6666666666666666,6
Abby Wambach,179035,0.8333333333333334,6
Abby Wambach,179036,0.5,4
Abdallah Djaballah,178904,0.5208333333333334,48
Abdallah Djaballah,178903,1.0,1
Abdallah Djaballah,178905,0.5306122448979592,49
Abdel Fattah el-Sisi,12927,0.45454545454545453,11
Abdel Fattah el-Sisi,12929,0.3333333333333333,3
Abdel Fattah el-Sisi,12926,1.0,1
Abdel Fattah el-Sisi,12930,0.5,12
Abdel Fattah el-Sisi,12928,0.6,10
Abdelilah Benkirane,12423,0.8461538461538461,26
Abdelilah Benkirane,12421,1.0,1
Abdelilah Benkirane,12422,0.8636363636363636,44
